TeamId,TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
698,Nebraska,45.4049,297,17.2088,30,26.35315,319,28.37450,331
695,North Carolina St.,54.2023,15,17.9662,64,34.67601,76,40.91595,47
840,Washington,48.2393,193,19.7919,164,37.29822,26,33.81668,234
834,Western Illinois,51.5745,61,19.5122,146,24.84316,336,39.78495,73
632,Jackson St.,44.4545,315,18.0953,68,27.34559,301,38.39662,102
630,IPFW,49.4886,121,20.3177,198,31.42857,179,38.44765,100
580,Eastern Kentucky,54.0304,16,17.8840,60,27.87046,293,34.78016,210
511,Arizona,52.4832,39,19.5196,147,34.99555,65,37.35127,129
788,TCU,43.2806,331,21.9135,278,31.96172,157,40.57971,54
796,Texas Tech,46.4661,268,21.4765,259,32.10672,149,38.08411,109
807,UC Irvine,48.0178,200,18.6376,99,30.40752,218,30.17839,310
539,California,48.0000,202,18.9316,121,32.52252,137,31.20000,289
631,IUPUI,50.5133,90,18.8371,111,22.10953,346,24.21498,347
629,Iowa St.,53.7660,18,18.4994,90,34.19773,88,32.97016,254
816,UNC Wilmington,46.5945,260,21.3841,255,31.49758,177,36.72820,152
719,Ohio,53.6164,21,18.5364,92,27.37882,299,31.34172,285
760,USC Upstate,49.5467,119,19.9569,173,35.40146,57,34.27762,223
568,Davidson,53.1196,26,17.0099,25,29.01961,261,38.92387,92
754,San Diego St.,48.5294,170,18.0986,69,31.81404,166,35.34961,195
809,UCF,51.3915,65,20.2861,197,34.60381,78,40.35421,60
623,Illinois,47.5802,221,17.4387,39,33.24089,117,31.01235,295
756,San Jose St.,41.0648,344,20.1984,190,33.36380,112,36.67497,153
638,Kennesaw St.,44.7483,308,20.9612,240,30.62558,208,37.35239,128
592,Florida,55.2514,6,17.7846,55,34.17173,89,31.06023,294
727,Pacific,50.5233,89,17.8202,57,29.22932,251,37.67442,118
640,Kentucky,52.6171,37,19.3589,138,34.73877,74,41.70799,36
537,Central Michigan,48.3489,182,19.7838,163,30.96154,195,39.31464,84
793,Texas,45.7237,292,21.4435,257,34.55008,80,40.35088,61
723,Old Dominion,44.9334,304,20.7065,220,38.89876,8,34.62652,213
605,Georgia St.,50.0308,103,17.9581,63,29.27199,250,34.91672,208
564,Cal St. Fullerton,53.6331,20,18.0836,67,25.20661,332,35.49732,187
561,Cornell,47.4428,228,19.5522,150,28.20513,285,30.68592,301
802,Tulsa,48.5512,168,21.6971,268,30.25135,225,43.58368,24
582,Eastern Washington,48.7576,153,19.3071,134,29.38144,243,32.02650,272
614,High Point,48.0340,199,17.8609,58,34.03241,93,32.68779,262
849,Wisconsin,48.5969,163,15.6887,5,32.58246,136,29.69388,320
781,Saint Mary's,53.6859,19,18.3397,81,36.91887,31,36.96581,142
519,Austin Peay,51.6804,55,23.2031,321,28.86387,268,37.41281,126
545,Charleston Southern,48.6479,159,17.9154,61,33.60215,106,29.74684,318
575,Drake,52.2415,44,19.7624,160,24.48378,338,37.47759,124
707,Norfolk St.,46.2162,272,21.1383,247,33.71997,101,40.00000,69
705,Nicholls St.,48.7093,154,20.1910,189,30.06724,230,40.01229,68
514,Arkansas Pine Bluff,44.6690,309,20.9094,235,31.38489,181,32.98184,252
667,Mercer,50.3141,97,19.5530,151,29.62963,240,35.63678,183
823,Utah Valley,49.6338,113,18.8668,115,25.66667,329,30.49268,304
648,LIU Brooklyn,54.3740,12,20.2729,194,35.24804,58,45.57360,10
524,Binghamton,41.8206,341,23.2479,324,26.50376,315,33.57520,238
843,West Virginia,45.6473,294,19.8212,167,37.14286,27,40.75749,50
509,American,47.2502,236,20.1162,185,28.51109,276,30.85178,297
693,North Carolina A&T,45.6674,293,22.6940,307,29.79233,235,42.57266,29
681,Montana St.,47.7574,213,16.9923,24,29.19132,252,37.33418,130
827,Vanderbilt,48.4440,173,19.4397,141,27.90909,292,35.06882,206
818,USC,47.1781,238,19.5508,149,29.14439,255,29.97260,314
676,Missouri,51.2419,70,18.9584,122,38.70418,11,35.07203,205
536,BYU,50.1889,98,16.9533,23,32.76265,131,36.04157,171
691,Northern Kentucky,48.0558,198,18.8809,117,25.28736,331,28.39325,330
835,Western Kentucky,48.5812,165,22.2071,294,34.84349,70,37.57225,121
534,Buffalo,50.4248,94,23.6638,331,35.10324,62,38.53155,97
830,Virginia,51.6480,57,18.1549,72,28.32700,283,31.56425,281
642,Lafayette,52.7156,33,18.6640,100,25.14451,333,28.21948,333
761,Southeastern Louisiana,45.5939,295,19.4811,144,26.42512,317,36.01533,173
547,Chattanooga,46.0072,277,20.0648,180,33.99281,94,43.02741,26
585,Elon,49.2027,132,17.4540,40,26.55525,314,29.21412,324
607,Gonzaga,54.9277,8,17.2137,31,37.78409,21,40.81414,49
641,La Salle,51.8902,50,17.1286,28,28.99563,262,31.33092,286
636,Kansas,53.3431,25,20.2813,196,33.75635,100,39.48267,79
841,Washington St.,49.5538,118,19.1378,128,31.57895,175,34.14634,228
557,Colorado St.,49.1558,133,17.2276,32,41.43744,2,44.06318,19
584,SIU Edwardsville,47.6515,218,21.6796,267,28.57143,274,32.80303,258
540,Campbell,48.2461,192,20.0818,182,32.66284,133,30.82231,298
595,Florida St.,49.9431,106,22.0358,284,30.90211,198,40.38680,57
855,Youngstown St.,49.1208,136,17.0318,26,26.50273,316,36.01815,172
773,Southern,49.1139,137,16.8060,20,25.78680,326,40.25316,66
649,Longwood,48.2778,189,22.6792,306,28.74419,271,30.54771,303
602,George Mason,48.4612,172,20.4206,203,35.00000,64,35.27462,199
771,South Florida,44.5646,313,17.7232,48,30.31136,221,29.24925,323
733,Portland St.,49.6868,111,18.1738,74,31.05077,191,31.87196,274
528,Boston University,52.2188,45,18.9918,123,26.04699,322,26.50456,341
659,Marist,48.4132,175,20.8223,228,26.95492,307,39.58084,78
675,Mississippi St.,44.5873,311,24.7658,342,30.46181,213,40.84928,48
645,Liberty,48.5642,166,19.8519,168,29.02655,259,38.40090,101
522,Belmont,56.5029,2,19.5754,152,29.65661,238,32.77457,259
824,UTEP,50.5729,86,19.7303,158,28.08989,287,42.52069,30
670,Michigan,54.5579,11,14.6256,1,32.50000,139,28.39562,329
515,Arkansas,48.3673,179,16.3402,11,31.71734,168,35.05102,207
606,Georgia Tech,46.7616,252,19.3463,136,32.59127,135,27.97320,336
784,Stetson,52.5649,38,23.1190,320,31.25649,187,34.79604,209
713,Northern Arizona,48.6704,157,20.4626,206,27.01506,306,31.41274,284
703,New Orleans,44.9305,305,24.4785,339,27.45592,298,38.75715,95
516,Arkansas St.,45.7245,291,18.8799,116,33.51064,108,44.23990,18
766,Siena,46.0760,276,23.6825,332,32.95562,127,38.13611,106
813,UMBC,46.5527,264,21.3375,253,28.72531,272,30.05303,313
828,Vermont,48.5855,164,20.5886,211,34.47266,82,44.83395,16
785,Stony Brook,49.5909,116,18.3263,80,31.83099,164,37.69725,116
720,Ohio St.,50.6320,83,16.1852,10,31.86634,159,35.43996,190
750,Sacred Heart,49.8490,108,21.8920,276,33.16733,119,32.18599,269
731,Pittsburgh,51.7465,54,18.0520,65,40.43768,4,37.52113,122
572,Denver,56.1324,3,18.6025,96,22.76331,344,31.21350,288
563,Cal St. Bakersfield,46.7708,251,20.6815,218,30.11790,228,35.41667,191
612,Harvard,54.3097,14,20.8058,225,25.61881,330,49.59825,2
652,Loyola Marymount,44.5946,310,20.0767,181,32.67412,132,34.00901,231
832,VMI,49.0417,140,17.4737,42,32.09220,150,30.55242,302
657,Maine,47.2632,235,21.7171,271,30.44316,215,33.33333,246
700,New Hampshire,43.9414,325,18.6186,97,28.05825,289,34.68708,211
672,Middle Tennessee,51.1723,71,20.6599,215,36.53501,37,41.38495,41
617,Houston,51.3506,66,18.3807,85,33.65984,102,39.35381,83
678,Missouri St.,44.9339,303,16.7929,19,25.76628,327,34.42417,219
747,South Carolina St.,42.1739,339,22.8166,311,35.63433,51,27.32919,340
751,Sam Houston St.,43.3002,330,20.2612,193,33.89687,97,37.68286,117
741,Rhode Island,45.9714,280,18.7637,107,28.37707,281,35.93242,175
844,Green Bay,47.9604,205,20.8348,231,33.05164,123,40.32634,62
803,Texas Pan American,47.3523,232,20.8174,227,26.95035,308,39.37542,82
624,Illinois St.,51.8286,52,18.7082,102,29.50820,242,34.37827,221
533,Bucknell,49.6011,115,15.0621,2,29.30187,247,35.66952,182
706,NJIT,45.7597,288,21.5064,261,33.83459,98,41.27208,42
778,St. John's,44.4947,314,16.7225,17,30.50314,212,28.90900,327
571,Delaware St.,45.7313,290,22.1604,291,32.61719,134,33.33333,245
566,Sacramento St.,45.7810,286,17.7530,51,30.11790,227,37.23849,133
669,Miami OH,48.2513,190,21.8937,277,27.53327,296,36.07513,169
738,Purdue,46.2652,270,18.9928,124,37.10590,28,33.53659,239
518,Auburn,45.9786,279,19.6621,156,29.14083,256,35.26434,200
590,Florida Atlantic,47.5268,224,22.6355,303,32.86648,129,35.51847,185
628,Iowa,46.6141,259,18.6220,98,36.39679,39,41.55844,38
702,New Mexico St.,49.2926,127,21.9476,279,36.87050,33,47.02886,4
581,Eastern Michigan,43.8256,326,23.1104,319,33.90640,96,30.49013,305
851,Wright St.,49.5209,120,20.3522,199,26.68513,312,32.97632,253
550,The Citadel,50.5025,91,23.9347,334,30.93270,197,37.83202,113
682,Morehead St.,47.9661,204,24.7118,340,39.49504,5,39.03955,89
728,Penn,47.7175,215,23.5681,329,26.71906,311,34.42320,220
610,Hampton,43.0676,333,24.2716,338,34.14211,90,38.59041,96
753,San Diego,48.3493,181,20.4953,207,30.30019,222,37.81513,114
559,Connecticut,50.0304,104,18.1807,76,28.45361,278,36.92214,144
725,Oregon,49.2891,128,21.4335,256,35.73693,47,38.34123,104
730,Pepperdine,48.6379,160,22.7473,310,31.98294,154,34.01993,230
650,Louisiana Tech,46.4732,267,17.7476,50,33.79523,99,35.51776,186
817,UNLV,48.9712,143,20.2255,192,33.25021,116,36.72840,151
600,Georgia Southern,45.9518,281,20.0577,179,30.65903,206,35.41409,192
679,Monmouth,44.4167,318,20.9444,238,29.78723,236,32.27778,267
819,UT Arlington,46.5803,262,22.1205,287,36.37888,40,36.56922,156
726,Oregon St.,49.7035,110,19.6008,153,34.40487,83,37.03504,137
757,UC Santa Barbara,48.7742,151,22.3268,298,31.06599,190,30.12903,311
815,UNC Greensboro,47.0170,242,17.7644,54,29.17772,254,33.69318,237
850,Wofford,44.1646,322,20.2738,195,25.92593,324,27.94840,337
587,Evansville,48.5405,169,16.9532,22,29.76974,237,31.10216,292
699,Nevada,47.2931,234,18.7510,105,28.93204,266,41.81705,34
780,Saint Louis,50.3863,95,17.5518,44,27.91111,291,44.03974,20
680,Montana,52.8986,31,19.1426,129,25.13966,334,40.64559,53
531,Brown,47.5627,223,21.6301,265,30.51742,211,34.33148,222
597,Fresno St.,43.5428,329,18.4748,88,29.27565,249,37.29282,131
806,UC Davis,55.0878,7,20.7228,221,26.38743,318,32.94973,256
671,Michigan St.,50.5933,85,20.8162,226,36.14350,41,36.56958,155
765,Stephen F. Austin,50.4986,92,20.3999,202,34.12969,91,40.38462,58
787,Texas A&M Corpus Chris,45.3605,298,18.7987,108,29.87680,232,32.24299,268
683,Morgan St.,48.2844,187,22.2674,297,37.96928,19,39.18096,86
692,Navy,44.1500,323,18.3240,79,25.75024,328,27.92502,338
544,Central Connecticut,48.6088,162,17.5306,43,27.37676,300,30.11457,312
812,Louisiana Monroe,48.4386,174,24.0644,336,27.34375,302,31.51171,282
655,LSU,49.2115,131,20.4268,205,34.38837,84,33.38771,242
504,Alabama,47.8665,210,19.9279,170,31.97220,156,33.91685,232
663,Massachusetts,49.4821,122,20.3984,201,32.45985,141,35.78457,178
687,Murray St.,52.3585,42,20.5465,208,32.45168,142,38.99371,90
508,Alcorn St.,42.3165,337,22.1536,288,29.30403,246,38.13073,107
789,Temple,48.9678,144,15.9138,8,30.82524,200,35.59919,184
552,Cleveland St.,46.8631,249,21.2004,249,31.98585,153,30.35488,306
586,East Tennessee St.,45.7371,289,20.0249,175,27.09854,304,31.61634,278
562,Creighton,58.2094,1,18.9262,120,28.81844,269,34.21892,226
651,Louisville,50.5432,88,18.3039,77,38.22894,16,39.98262,71
839,Wake Forest,48.4867,171,20.6916,219,27.69376,294,43.70460,23
601,Gardner Webb,46.7790,250,20.8855,233,35.51402,54,34.45626,218
599,George Washington,46.6265,257,23.2679,325,38.19048,17,40.36145,59
791,Tennessee St.,48.9492,145,21.9906,281,34.84419,69,39.98832,70
665,Maryland Eastern Shore,39.7810,345,23.5181,328,34.87276,68,35.30192,198
790,Tennessee,47.9440,206,20.1006,184,36.51786,38,42.20445,31
690,Northern Illinois,39.7010,346,23.2443,323,33.20861,118,35.74751,181
772,Southern Miss,53.1152,27,21.9881,280,37.96791,20,36.54450,157
576,Drexel,46.6687,256,18.8087,109,33.26942,115,33.49485,240
779,Saint Joseph's,50.5582,87,18.6908,101,31.70965,169,36.19271,166
615,Hofstra,41.9988,340,22.1597,290,34.22529,87,39.31159,85
848,Winthrop,46.6163,258,21.3643,254,29.34662,244,36.06911,170
768,South Alabama,45.8517,284,22.8421,312,35.99240,43,45.44312,12
558,Columbia,47.5849,220,17.7599,53,29.02056,260,33.73585,235
622,Illinois Chicago,45.9896,278,19.5398,148,28.32962,282,35.37219,193
846,Wichita St.,50.0231,105,19.4490,142,38.01039,18,36.51893,158
513,Arkansas Little Rock,46.3604,269,22.3314,299,31.84307,162,42.66110,28
710,North Florida,50.6228,84,22.0835,286,30.99808,192,29.71530,319
662,Maryland,51.5772,60,22.1766,292,36.88394,32,34.46328,217
577,Duke,53.8613,17,15.5918,4,28.77882,270,39.15396,87
529,Bowling Green,46.5815,261,19.9418,171,30.43062,216,25.80262,343
603,Georgetown,51.1063,72,20.0543,178,30.36810,219,36.81623,146
739,Quinnipiac,46.5022,265,20.1998,191,41.12228,3,41.10629,43
770,South Dakota,50.7708,79,17.7553,52,24.29696,340,37.26542,132
554,College of Charleston,50.1694,99,20.5932,213,33.33333,114,38.50932,98
774,Southern Utah,44.4478,316,22.0410,285,32.07721,152,36.77184,149
722,Oklahoma St.,48.8403,150,18.1613,73,31.32743,182,40.50701,55
776,St. Francis NY,48.4069,176,18.1769,75,34.36945,85,31.58189,279
775,St. Bonaventure,51.5516,62,19.9818,174,32.42105,143,39.89867,72
763,Seattle,47.0865,240,25.4695,343,36.69131,34,28.84049,328
621,Idaho St.,46.1953,273,19.5108,145,24.45415,339,37.47308,125
523,Bethune Cookman,45.8957,283,18.3560,82,31.27572,186,38.99057,91
618,Houston Baptist,43.6721,328,24.7191,341,31.84524,161,36.59016,154
743,Richmond,52.4600,40,18.5584,93,27.13891,303,43.24943,25
836,Western Michigan,48.1503,196,22.3935,300,35.49246,55,45.87365,6
560,Coppin St.,42.5732,335,20.9556,239,28.99023,263,31.19823,290
735,Presbyterian,48.9384,147,20.8232,229,22.74827,345,26.43836,342
744,Rider,49.1344,135,23.4509,327,30.82502,201,39.41143,81
717,Notre Dame,52.1514,46,17.6067,45,33.97717,95,32.03733,271
661,Marshall,48.1214,197,22.9349,315,37.53715,23,45.02890,13
786,Syracuse,48.9969,141,18.8630,113,38.73874,9,36.76406,150
745,Robert Morris,50.9937,74,19.2382,133,30.99662,193,37.02929,139
845,Milwaukee,44.5854,312,21.5097,262,28.97366,264,36.07673,168
854,Yale,46.5000,266,22.1567,289,35.05572,63,42.86667,27
734,Prairie View A&M,41.2938,342,21.6489,266,38.57143,12,32.56065,264
527,Boston College,50.9700,76,17.7222,47,28.05825,288,39.74133,75
795,Texas St.,47.8227,212,19.3454,135,26.87908,309,36.51626,160
593,Florida A&M,42.9994,334,22.4826,301,31.56522,176,32.74751,260
740,Radford,44.2239,321,19.4667,143,32.22707,146,35.84123,176
769,South Carolina,46.5594,263,22.7253,308,38.34653,14,35.23862,201
704,Niagara,48.3098,185,16.4185,13,32.49211,140,38.04238,110
752,Samford,50.7088,81,21.0623,245,26.83938,310,31.31443,287
510,Appalachian St.,49.5724,117,19.3508,137,30.32385,220,37.93525,112
619,Howard,39.2276,347,23.9396,335,35.11673,61,34.14634,227
660,Marquette,49.6475,112,20.8918,234,38.29201,15,40.94360,45
608,Grambling St.,41.1212,343,26.7367,346,28.59351,273,24.93036,344
637,Kansas St.,49.0726,139,18.1518,71,38.53288,13,31.73622,275
782,Saint Peter's,45.7746,287,19.9519,172,30.29163,223,30.31231,309
555,Colgate,48.0114,201,19.7972,166,26.19693,320,27.55682,339
825,VCU,51.2929,69,16.8933,21,36.60714,35,29.82613,317
794,Texas A&M,48.7658,152,21.0477,243,34.88806,67,32.89323,257
530,Bradley,48.2802,188,17.7998,56,30.42414,217,29.91027,316
714,Northern Iowa,50.9679,77,18.8654,114,24.93126,335,32.96460,255
711,North Texas,44.4311,317,20.6678,216,33.64399,104,41.54124,39
792,Tennessee Tech,46.9149,245,24.1976,337,35.22976,59,38.15603,105
644,Lehigh,53.0109,29,16.4463,14,27.04663,305,36.37470,163
797,Tennessee Martin,43.2542,332,21.0617,244,32.33365,145,37.72642,115
517,Army,51.6657,56,20.6799,217,31.76353,167,36.82617,145
658,Manhattan,46.7485,253,25.5559,345,31.87984,158,45.71997,8
721,Oklahoma,47.8839,208,17.3980,38,33.03809,124,35.48562,188
598,Furman,45.8078,285,22.6751,305,28.37838,280,35.31016,197
538,Cal Poly,48.7058,155,15.7343,6,31.30699,183,33.27020,247
736,Princeton,53.5850,22,20.0830,183,29.79275,234,34.63005,212
546,Charlotte,47.1175,239,22.2283,295,36.53680,36,44.84479,15
804,Texas Southern,51.8718,51,17.8709,59,31.45756,178,31.19682,291
594,FIU,48.9409,146,21.7389,272,31.29433,185,35.78595,177
708,North Carolina,49.2673,129,17.2325,33,34.64912,77,28.15275,335
532,Bryant,54.3709,13,19.1897,131,30.60606,209,37.03485,138
643,Lamar,42.4182,336,25.5012,344,32.40072,144,31.47616,283
716,Northwestern St.,48.9772,142,19.1741,130,34.81481,73,40.26885,65
759,Savannah St.,44.8645,307,27.1839,347,34.49248,81,35.34972,194
801,Tulane,47.7310,214,19.0180,125,35.58897,53,46.69218,5
551,Clemson,47.2002,237,18.4099,86,31.97674,155,33.11016,250
831,Virginia Tech,47.4960,225,17.4632,41,30.74266,203,36.77975,148
764,Seton Hall,51.3204,67,23.7997,333,30.96352,194,34.50704,216
548,Chicago St.,44.3827,319,21.1766,248,30.07313,229,24.57578,345
686,Mount St. Mary's,50.4688,93,18.3238,78,28.55864,275,31.88086,273
724,Oral Roberts,49.8933,107,20.5808,210,36.06853,42,37.99360,111
673,Minnesota,49.3740,124,21.5216,263,43.82609,1,41.58955,37
620,Idaho,52.6852,35,21.0633,246,33.09942,120,37.59347,120
565,Cal St. Northridge,46.7011,255,19.0572,126,35.67518,49,38.49684,99
808,UC Riverside,45.2693,300,22.6504,304,30.68783,204,32.52762,265
526,Boise St.,51.7502,53,18.3708,83,30.26860,224,33.73567,236
810,UCLA,49.1084,138,15.8318,7,30.66561,205,33.12999,249
647,Long Beach St.,50.1457,100,20.8372,232,32.08955,151,36.30536,164
852,Wyoming,49.4812,123,18.7171,103,23.63083,343,39.75357,74
616,Holy Cross,47.6849,216,19.7922,165,27.91905,290,29.96785,315
583,East Carolina,51.4156,64,18.5778,94,29.31520,245,39.07135,88
653,Loyola MD,46.8978,247,18.4275,87,36.96563,29,40.98019,44
596,Fordham,44.9300,306,22.7345,309,35.86207,45,32.66106,263
685,Mississippi Valley St.,42.2382,338,21.4675,258,31.62706,174,39.46384,80
821,Utah,48.6916,156,20.0292,176,27.52294,297,31.09034,293
578,Duquesne,47.8535,211,20.8279,230,30.93333,196,31.65426,277
746,Rutgers,48.6679,158,21.3031,252,35.83252,46,32.44523,266
847,William & Mary,53.5811,23,20.0379,177,28.49035,277,37.63514,119
758,Santa Clara,50.7306,80,18.3729,84,32.90837,128,37.01900,140
749,Southern Illinois,47.9772,203,19.4126,140,31.66333,173,34.07080,229
520,Ball St.,48.4068,177,23.5766,330,35.60529,52,47.11864,3
635,James Madison,47.5786,222,17.2442,34,29.55466,241,36.78516,147
762,Southeast Missouri St.,53.0892,28,18.4980,89,28.18533,286,33.35240,244
542,Central Arkansas,47.8764,209,19.7557,159,33.36237,113,29.61942,321
506,Alabama St.,45.1234,301,22.0327,283,33.42082,111,32.18589,270
521,Baylor,51.5922,58,17.2038,29,33.49321,110,36.40684,162
553,Coastal Carolina,46.9252,243,21.7006,270,36.93495,30,35.77918,179
646,Lipscomb,46.7073,254,23.2288,322,35.72744,48,44.51220,17
822,Utah St.,52.0494,48,20.9201,237,37.41794,24,40.46845,56
627,Iona,52.1130,47,17.0869,27,32.78008,130,32.71605,261
535,Butler,50.6944,82,20.1601,187,35.90426,44,38.35470,103
549,Cincinnati,46.1538,274,19.3702,139,38.73016,10,35.45593,189
838,Wagner,47.4870,226,21.8550,275,34.90741,66,40.32351,64
767,SMU,47.9326,207,22.8689,313,34.83736,72,40.71247,51
591,Florida Gulf Coast,51.5813,59,20.9969,242,32.51232,138,35.19076,203
748,South Dakota St.,53.3505,24,16.3899,12,28.96825,265,32.98969,251
718,Oakland,49.2399,130,17.2571,36,31.17229,189,40.65315,52
664,McNeese St.,44.9367,302,17.9574,62,31.86047,160,30.31947,308
833,Western Carolina,47.6177,219,18.8984,119,34.60177,79,30.91413,296
712,Northeastern,50.9810,75,19.7743,162,29.18149,253,38.77669,94
689,North Dakota St.,52.7976,32,18.1153,70,30.05128,231,28.33333,332
829,Villanova,47.2957,233,22.8751,314,33.09609,121,50.55850,1
505,Alabama A&M,43.7694,327,20.9816,241,31.82239,165,36.94978,143
626,Indiana St.,48.2186,195,19.6115,154,26.57744,313,42.08937,32
666,Memphis,52.4384,41,20.7501,223,35.66206,50,37.22839,134
589,Fairfield,47.6668,217,21.5335,264,33.59307,107,28.92024,325
800,Troy,45.3068,299,16.4585,15,30.65693,207,24.54116,346
842,Weber St.,56.0383,4,18.7588,106,29.82625,233,39.61749,77
503,Akron,51.0520,73,20.7799,224,37.59124,22,36.98782,141
604,Georgia,46.8850,248,22.9677,316,32.11186,148,44.95825,14
715,Northwestern,47.4227,229,17.2764,37,25.89532,325,33.83869,233
755,San Francisco,52.6722,36,18.0528,66,23.87435,341,34.57824,214
853,Xavier,50.0632,102,20.3557,200,34.30657,86,41.40329,40
625,Indiana,54.7692,9,19.2283,132,38.96797,7,45.86504,7
